番号,書き（カタカナ入り例文）,漢字（対象漢字）
1-1,今日は雪を観察するのには絶好のキカイだ。,機会
1-2,宇宙のシンリについて考えた。,真理
1-3,テンネンの水は、やはりおいしい。,天然
1-4,植物は根からヨウブンをすいとる。,養分
1-5,チューリップのキュウコンを植える。,球根
1-6,あさがおの種子がハツガした。,発芽
1-7,マンテンに星がかがやいている奄美大島。,満天
1-8,僕の部屋のマドからは富士山がよく見えます。,窓
1-9,ボウエンキョウで星座を観察する。,望遠鏡
1-10,ホッキョクセイを探すと方角がわかる。,北極星
1-11,草木も生えないフモウの土地を開墾する。,不毛
1-12,さなぎの時期がなくセイチョウすることを不完全変態という。,成長
1-13,動物が地震をサッチすることがあると言われている。,察知
1-14,この池には大ナマズがセイソクしているそうだ。,生息
1-15,シソンのために地域の自然を残そう。,子孫
1-16,琵琶湖のシャシンをとった。,写真
1-17,太陽の光をアびた。,浴
1-18,冬にはここはセキセツニメートルにもなるそうだ。,積雪
1-19,ふるさとのコウケイが目にうかぶ,光景
1-20,道のリョウガワに木が植えてある。,両側
2-1,ショカの風が心地よい。,初夏
2-2,春が来て、さくらがマンカイになった。,満開
2-3,リッシュンをすぎるとあたたかくなってくる。,立春
2-4,ケサ、アサカオが咲いていた。,今朝
2-5,四年生としてのジカクを持とう。,自覚
2-6,父はヤハンすぎに帰ってきた。,夜半
2-7,ヘイゼイからの心がけが大切だ。,平生
2-8,寒さがいちだんときびしいキセツになりました。,季節
2-9,熱帯植物はタンキカンて大きく成長することがある。,短期間
2-10,サッソク、手紙の返事を書こう。,早速
2-11,話が長引いて、予定の時間をスぎてしまった。,過
2-12,満月の美しいバンに狼の遠吠えが聞こえてくる。,晩
2-13,春のキザしが何となく感じられる。,兆
2-14,夜ふかしをしたのでヨクアサは起きるのがつらかった。,翌朝
2-15,知らないあいだにいっしかゲシも過ぎてしまった。,夏至
2-16,夜中はどしゃぶりだったがヨクジツはからりと晴れた。,翌日
2-17,駅で待っているとリンジの電車が入ってきた。,臨時
2-18,研究発表が一週間エンキされたのて助かった。,延期
2-19,しばらく旅行に行くので十二月十日イコウは家にはおりません。,以降
2-20,イゼンにこの場所に来たような気がする。,以前
3-1,矢作川のキシペてあそんだ。,岸辺
3-2,音楽隊がケッセイされた。,結成
3-3,フウセンを、大きくふくらました。,風船
3-4,男のカナでる曲には心をうっとりとさせるものがありました。,奏
3-5,将棋の大家がアラワした本をじっくりと研究した。,著
3-6,ベテラン俳優のエンジュクした演技はさすがだと父は言った。,円熟
3-7,父とエイカを見に行ったのはいつのことだったろう。,映画
3-8,父と母は仲良くイタリアのカゲキを見に行った。,歌劇
3-9,芝居のマクアイにおいしいお弁当を食べました。,幕間
3-10,各人が工夫して自分なりにソウサクするように言われた。,創作
3-11,逆転するゼッコウのチャンスがようやくめぐってきた。,絶好
3-12,うちにはお兄さんの作った船のモケイがたくさんある。,模型
3-13,弟は僕よりもテレビゲームにジュクタツしている。,熟達
3-14,兄はいくつかの山をジュウソウする計画を立てている。,縦走
3-15,京都は有名なカンコウ地だ。,観光
3-16,旅をしてキコウ文を書いた。,紀行
3-17,東京から横浜にイタる長い道のりを歩こうと言うのですか。,至
3-18,社会の勉強を力ねて京都に旅行に行った。,兼
3-19,山の中 道に迷い、ジシャクをたよりに進んだ。,磁石
